Rank,Journal,Q1(t) percentile,A-mean resolution,G-mean resolution,V-mean resolution,Structure count
1,TUBERCULOSIS (EDINB)*,84.80325467917046,2.020318181818181,1.9954281238056129,1.9186459825761668,132
2,CHEMISTRY*,72.33899683585744,1.8204297970936365,1.7655529356167432,1.6162016682605012,242
3,CHEM COMMUN*,71.87737158839997,1.8050000065368579,1.7457717241525335,1.5911154218608943,280
4,CHEMBIOCHEM*,71.83920823077199,1.920974193548387,1.8669852917704612,1.7097568960064802,527
5,ACS INFECT DIS*,71.69064537515814,1.9468954248366017,1.9040055874644006,1.7807886522105287,153
6,EUR J MED CHEM*,71.39110297955395,2.0278038299282533,1.9721152448891577,1.8066601463903236,418
7,ACS CATAL*,71.33335677266366,1.936618299736225,1.8756950659901532,1.6983774132813414,241
8,ORG BIOMOL CHEM*,71.21272388083514,1.882623952095808,1.8241941676105142,1.642599107640431,167
9,J INORG BIOCHEM*,71.10687437407918,1.7844380116959073,1.7282834315797668,1.5660958412656527,171
10,IUCRJ*,70.61597644763474,1.9531017793594299,1.8824325135630686,1.6865696269180603,281
11,J SYNCHROTRON RADIAT*,70.2385665200474,1.789911564625848,1.7299998117058015,1.564610164071615,147
12,ACS OMEGA*,69.76948872482252,1.8066372549019607,1.7660465900160047,1.6362302003404752,102
13,J BIOL INORG CHEM*,68.04364304880515,1.8840876139683393,1.821752577201187,1.6430099717262943,265
14,CHEM SCI*,67.78332669426173,1.8747019365477993,1.8250185683647666,1.6815243255224301,268
15,J COMPUT AIDED MOL DES,67.56567522370447,1.8818173913043477,1.8556025841906836,1.7650652413550942,115
16,NAT CHEM*,67.44725982210258,1.9451560693641596,1.8482010535569153,1.6511864097124673,173
17,ANGEW CHEM*,67.4470101800013,1.9172186854460067,1.8484972904704644,1.6444318238340048,1065
18,FEBS J*,66.24143175791143,2.022789380283403,1.9698009601795816,1.8123194108934575,1539
19,APPL ENVIRON MICROBIOL,65.99310715539174,2.00816875,1.9627934838828673,1.8315067761536337,112
20,ANTIMICROB AGENTS CHEMOTHER*,65.63900396256018,1.9555546925566334,1.8760568784100398,1.6518568504383326,309
21,ARCH BIOCHEM BIOPHYS*,65.32600556866652,2.079391307063188,2.032895093914664,1.886827955767284,276
22,GLYCOBIOLOGY,65.12264970526614,1.9573670212765952,1.8978427403054388,1.736312494283064,188
23,ACS CHEM BIOL*,64.69400580608773,2.0379855177311694,1.9841030478586075,1.8250885848294458,1104
24,CHEMMEDCHEM*,64.6492422709532,1.9431031408754138,1.8823986261691041,1.694320801089032,556
25,BIOCHEM J*,64.31599455008234,2.110534370185326,2.055752630432588,1.8933650700452667,1033
26,INT J MOL SCI,63.82975256432637,2.115212636050583,2.0355113367313895,1.8114981318604353,103
27,ACTA CRYST F*,63.70924595385603,2.0874963923216976,2.0150906655337995,1.808368650487447,1466
28,ACTA CRYST D*,63.60014934860789,1.9859256614583185,1.9105752765307304,1.69622577240154,4952
29,J AM CHEM SOC*,63.36603079888178,2.000311740423091,1.9347855899581647,1.7389272477446214,2369
30,PROTEIN ENG DES SEL,63.04108874398886,2.0513530612244892,2.0007882709638487,1.8447406514961104,294
31,TO BE PUBLISHED*,62.74404472177394,2.0331372154062395,1.9764523344000984,1.8087615090033207,22421
32,BIOPHYS J,62.488829060057824,1.915994974874371,1.8541708411402291,1.663682327720024,199
33,MBIO,62.041201176185965,2.2386763327531365,2.1541234142103898,1.9132036347457388,169
34,SCI REP*,61.273064039480616,2.1577250420572343,2.0874733366703686,1.8806223486281317,1847
35,NAT CHEM BIOL,61.11630381995239,2.1875664749916175,2.11923963132319,1.9174839305067142,1013
36,FEBS LETT,61.09127361698431,2.101564219983207,2.037790027899831,1.8475580972165024,814
37,BIOCHEMISTRY*,60.67164888676909,2.052668690214357,2.0003416213826597,1.8396788058053615,8896
38,PLOS PATHOG,60.6609901530769,2.2475538122338268,2.1719659776640325,1.9604687764709863,656
39,CELL CHEM BIOL,60.509068344862335,2.0774997033444578,2.027714149750333,1.884807824735917,902
40,J BIOCHEM,60.290502930325005,2.054806451612903,2.012383212351153,1.8840545673556668,279
41,PLOS ONE,60.04274001534369,2.149214018689612,2.08896518686711,1.915769345678844,2057
42,NAT COMMUN*,60.04246487841911,2.213350580190543,2.1119495607402476,1.86436495847919,3538
43,FASEB J,60.00784633656645,2.028562732919255,1.981140723573023,1.861101422441402,161
44,BMC STRUCT BIOL,59.68189138960043,2.0817578947368403,2.024737254717196,1.8376370828112014,228
45,BIOCHIMIE,59.57069300949335,2.0705078125000003,2.015144256416314,1.8064695622221985,128
46,PROTEIN SCI,59.563019044890865,2.0732581655481015,2.0182799991862486,1.8548259634547803,2235
47,ACS MED CHEM LETT,59.405976625645074,2.124244699402845,2.0637596953312625,1.876907827072876,1062
48,J MED CHEM,58.67170965552827,2.0717486941325105,2.0202849053684613,1.8596503709142753,5525
49,BIOCHIM BIOPHYS ACTA,58.14286710674415,2.0917044999999987,2.035747665316125,1.8694665523903964,600
50,PROTEINS,57.962755944018795,2.067916434916491,2.0143483668748643,1.8439944524644474,1999
51,BIOORG MED CHEM,57.86416654822998,2.098657814871017,2.042484519066912,1.8779498225231845,659
52,MOL MICROBIOL,57.66072922317026,2.163016019417473,2.087800283216776,1.871668428983412,412
53,J BIOL CHEM,57.40036448943354,2.1220707990445855,2.062772692846283,1.889296877776186,11055
54,NAT MICROBIOL,56.87477181945076,2.322225225225225,2.2507449651466684,2.043014838778239,111
55,J STRUCT BIOL,56.57804396067374,2.1502692130085963,2.082338537608425,1.9036605048942048,1038
56,INT J BIOL MACROMOL,56.479373113095974,2.05264880952381,1.997948651011543,1.803892408706563,168
57,J STRUCT FUNCT GENOM,55.68860822433168,2.0662321428571433,2.030922959387011,1.9223403804655737,168
58,STRUCTURE*,55.52900132827542,2.197485930312627,2.1113177364440925,1.8643127438245515,5348
59,J MOL BIOL*,55.2226083987991,2.125248195784678,2.0631320743092476,1.883792047908282,9507
60,VIROLOGY,54.61703777440952,2.4350555555555555,2.3712950196019844,2.183448623841121,126
61,BIOCHEM BIOPHYS RES COMMUN,54.284668977334846,2.175412721817355,2.1096861127038427,1.9188870874646122,976
62,MABS,54.13364332530966,2.3452434782608695,2.292203550875508,2.142087181380429,115
63,PLANT CELL,53.64353531240271,2.2128985507246375,2.171673679486286,2.046443444765587,138
64,J BACTERIOL,53.62160600868735,2.2179866939505377,2.1619816561767133,2.0086692820855743,371
65,NUCLEIC ACIDS RES*,53.305636998852535,2.2820356616953683,2.2065210046818216,1.9768402283684976,2127
66,CELL HOST MICROBE,53.09839592869716,2.496345794392523,2.4277301169683576,2.2015916987275452,107
67,J VIROL*,52.21598513054813,2.3439864681295743,2.264519278774781,2.0559340501977257,957
68,PNAS*,52.165022787480495,2.274710997025069,2.1880830429344744,1.9446372735744082,7376
69,SCI ADV,51.68359896976168,2.3289725274725286,2.2198398944738815,1.8506461640090421,182
70,MOL PHARMACOL,51.48103829105051,2.345468217054264,2.270397856949097,2.024290212851637,129
71,RNA,51.47523738631898,2.4354055869664917,2.3217287360986196,1.9677848206795663,245
72,PLOS BIOL,51.11180470708706,2.349132738095239,2.2493703886645466,2.007371483113591,336
73,J EXP MED,50.53032289218075,2.3361902736447924,2.278223271588997,2.084007122333264,121
74,ELIFE*,49.24331900186483,2.4107651848728326,2.3010620952909657,2.0320711147604023,869
75,J IMMUNOL*,48.99759895926377,2.2574121621621615,2.1948306225455085,2.0160153294564545,296
76,PROTEIN CELL,48.765751364373045,2.257102538052978,2.2053339055632635,2.0382037786839833,178
77,BIOORG MED CHEM LETT*,47.43151663008402,2.1946340880503103,2.1550754691347094,2.0454898484144763,1590
78,EMBO REP*,47.249219578284574,2.349563981042653,2.277999305712799,2.0948773576337056,211
79,CELL REP*,46.887075132068745,2.524237510127969,2.4178896678057162,2.1559093963348133,399
80,GENES DEV*,46.61165507358876,2.407265591397848,2.330925098787855,2.110279550364871,279
81,CELL RES*,45.35768961635411,2.421433862433862,2.3638395957144462,2.199900404109686,189
82,SCIENCE*,44.972850659943724,2.497320061926803,2.387483817954993,2.1022746995848673,1949
83,NATURE*,44.76215069495938,2.5222504947509283,2.418723076620229,2.1233571738471504,3060
84,NEURON*,44.646693529356476,2.6301409395973154,2.41443576542188,2.081182819717141,149
85,NAT STRUCT MOL BIOL*,44.08675997928679,2.4011907693037404,2.311002588819745,2.0655063560072637,2915
86,COMMUN BIOL*,43.806403334150126,2.3919807692307695,2.3050097620468426,1.997702292279341,104
87,EMBO J*,43.61058362837116,2.3715653926701568,2.299768891888695,2.096682325902714,1910
88,IMMUNITY*,43.168176414176955,2.4361890566037734,2.3747778581252073,2.1845146355539082,265
89,MOL CELL*,42.67982324808741,2.4475805266747606,2.3674963665376296,2.1440405587141,1599
90,NAT IMMUNOL*,42.13960254732241,2.5165462184873935,2.4496261092739817,2.223078550656955,119
91,CELL*,40.0518585500469,2.536798464491366,2.445801131659555,2.197876563659674,1563
